MouseSymbol,mouseUPID
Ankrd29,Q3TS37
Ankrd31,A0A140LI88
Ankrd33,Q8BXP5
Ankrd33b,Q3U0L2
Ankrd34a,Q7TST1
Ankrd34b,Q3UUF8
Ankrd34c,B2RPW9
Ankrd35,Q8BYG3
Ankrd37,Q569N2
Ankrd39,Q14A32
Ankrd40,Q5SUE8
Ankrd40cl,A0A286YDT2
Ankrd42,Q3V096
Ankrd44,B2RXR6
Ankrd45,Q9D470
Ankrd46,Q8BTZ5
Ankrd49,Q8VE42
Ankrd50,Q6ZPE3
Ankrd52,Q8BTI7
Ankrd53,Q3V0J4
Ankrd54,Q91WK7
Ankrd55,Q8BLD6
Ankrd6,Q69ZU8
Ankrd60,Q9CVU0
Ankrd61,Q9CQM6
Ankrd63,A2ARS0
Ankrd65,F6YK91
Ankrd66,J3QNN4
Ankrd7,Q9D504
Ankrd9,Q8BH83
Anks1,P59672
Anks1b,Q8BIZ1
Anks3,Q9CZK6
Anks4b,Q8K3X6
Anks6,E9PUD3
Ankub1,A0A5F8MPK3
Ankzf1,Q80UU1
Anln,Q8K298
Ano1,Q8BHY3
Ano10,Q8BH79
Ano2,Q8CFW1
Ano3,A2AHL1
Ano4,Q8C5H1
Ano5,Q75UR0
Ano6,Q6P9J9
Ano7,Q14AT5
Ano8,Q6PB70
Ano9,P86044
Anp32a,O35381
Anp32b,Q9EST5
Anp32a,O35381
Anp32-ps,Q64G17
Anp32e,P97822
Anpep,P97449
Antkmt,Q91VW0
Antxr1,Q9CZ52
Antxr2,Q6DFX2
Antxrl,Q8BVM2
Anxa1,Q4FK88
Anxa10,Q9QZ10
Anxa11,P97384
Anxa13,Q9CVK5
Anxa2,Q9CZI7
Anxa2,Q9CZI7
Gm21188,Q3T9V6
Gm36079,Q3T9V6
Anxa3,O35639
Anxa4,P97429
Anxa5,P48036
Anxa6,P14824
Anxa7,Q07076
Anxa8,O35640
Anxa8,O35640
Anxa9,Q9JHQ0
Aoah,Q5FW74
Aoc1,Q8JZQ5
Aoc1l1,Q6IMK7
Aoc1l2,Q9DAW4
Aoc1l3,Q8BZI2
Aoc2,Q812C9
Aoc3,O70423
Aopep,Q8BXQ6
Aox1,O54754
Aox2,Q5SGK3
Aox3,G3X982
Ap1ar,Q99LV9
Ap1b1,O35643
Ap1g1,Q8CC03
Ap1g2,O88512
Ap1m1,S4R1Q4
Ap1m2,Q9WVP1
Ap1s1,P61967
Ap1s2,Q9DB50
Ap1s3,E0CZ77
Ap2a1,A0A140LIG7
Ap2a2,P17427
Ap2b1,Q9DBG3
Ap2m1,P84091
Ap2s1,P62743
Ap3b1,Q9Z1T1
Ap3b2,Q9JME5
Ap3d1,Q8CGH7
Ap3m1,Q9JKC8
Ap3m2,Q8R2R9
Ap3s1,Q9DCR2
Ap3s2,Q8BSZ2
Ap4b1,Q9WV76
Ap4e1,Q80V94
Ap4m1,Q8CD17
Ap4s1,Q99M60
Ap5b1,A0A494B8Y9
Ap5m1,Q8BJ63
Ap5s1,Q9D742
Ap5z1,Q3U829
Apaf1,O88879
Apba1,B2RUJ5
Apba2,P98084
Apba3,O88888
Apbb1,Q9QXJ1
Apbb1ip,Q8R5A3
Apbb2,Q9DBR4
Apbb3,Q3UR23
Apc,Q61315
Apc2,W6CPJ9
Apcdd1,Q3U128
Apcs,Q4JFI8
Apeh,Q8R146
Apela,Q3V438
Apex1,Q544Z7
Apex2,Q68G58
Aph1a,Q8BVF7
Aph1b,Q8C7N7
Aph1c,Q9DCZ9
Api5,O35841
Apip,Q9WVQ5
Aplf,Q9D842
Apln,Q544B5
Aplnr,Q9WV08
Aplp1,Q03157
Aplp2,Q06335
Apmap,Q9D7N9
Apoa1,Q00623
Apoa2,P09813
Apoa4,P06728
Apoa5,Q8C7G5
Apob,E9Q414
Apobec1,P51908
Apobec2,Q9WV35
Apobec3,Q99J72
Apobec3,Q99J72
Apobec3,Q99J72
Apobec3,Q99J72
Apobec3,Q99J72
Apobec4,Q497M3
Apobr,A0A0U1RPR7
Apoc1,P34928
Apoc2,Q05020
Apoc3,P33622
Apoc4,Q61268
Apod,P51910
Apoe,G3UWN5
Apof,A0A0R4J0M4
Apoh,Q9CY42
Apol10a,Q8CCA5
Apol10b,Q8BZS1
Apol11a,E9PZG0
Apol11b,M0QWF2
Apol7a,B2RT54
Apol7b,Q5U432
Apol7c,Q8CHZ1
Apol7e,Q3UZ24
Apol8,A2VDH7
Apol9a,Q8VDU3
Apol9b,Q8C7I4
Apol10a,Q8CCA5
Apol10b,Q8BZS1
Apol11a,E9PZG0
Apol11b,M0QWF2
Apol7a,B2RT54
Apol7b,Q5U432
Apol7c,Q8CHZ1
Apol7e,Q3UZ24
Apol8,A2VDH7
Apol9a,Q8VDU3
Apol9b,Q8C7I4
Apol10a,Q8CCA5
Apol10b,Q8BZS1
Apol11a,E9PZG0
Apol11b,M0QWF2
Apol7a,B2RT54
Apol7b,Q5U432
Apol7c,Q8CHZ1
Apol7e,Q3UZ24
Apol8,A2VDH7
Apol9a,Q8VDU3
Apol9b,Q8C7I4
Apol10a,Q8CCA5
Apol10b,Q8BZS1
Apol11a,E9PZG0
Apol11b,M0QWF2
Apol7a,B2RT54
Apol7b,Q5U432
Apol7c,Q8CHZ1
Apol7e,Q3UZ24
Apol8,A2VDH7
Apol9a,Q8VDU3
Apol9b,Q8C7I4
Apol6,Q9D6L7
Apold1,E9Q0X2
Apom,Q8VC79
Apon,Q8BUM4
Apoo,Q9DCZ4
Apool,Q9CZB4
App,P12023
Appbp2,Q9DAX9
Appl1,Q8K3H0
Appl2,Q8K3G9
Aprt,P08030
Aptx,Q7TQC5
Aqp1,Q02013
Aqp11,Q8BHH1
Aqp12,Q8CHJ2
Aqp12,Q8CHJ2
Aqp2,P56402
Aqp3,Q8R2N1
Aqp4,P55088
Aqp5,Q9WTY4
Aqp6,Q14BV5
Aqp7,O54794
Aqp7,O54794
Aqp8,P56404
Aqp9,Q8R1T7
Aqr,Q8CFQ3
Ar,P19091
Araf,P04627
Arap1,Q4LDD4
Arap2,Q8BZ05
Arap3,Q8R5G7
Arc,Q9WV31
Arcn1,Q5XJY5
Areg,Q4FJT2
Arel1,Q8CHG5
Arf1,P84078
Arf2,Q8BSL7
Arf3,P61205
Arf4,P61750
Arf5,P84084
Arf6,P62331
Arfgap1,Q9EPJ9
Arfgap2,Q99K28
Arfgap3,Q9D8S3
Arfgef1,G3X9K3
Arfgef2,Q3U5C3
Arfgef3,Q3UGY8
Arfip1,G5E8V9
Arfip2,Q8K221
Arfrp1,V9GX20
Arg1,Q61176
Arg2,Q8R1Q7
Arglu1,Q3UL36
Arhgap1,Q5FWK3
Arhgap10,Q6Y5D8
Arhgap11a,Q80Y19
Arhgap11a,Q80Y19
Arhgap12,Q8C0D4
Arhgap15,Q811M1
Arhgap17,Q3UIA2
Arhgap18,Q8K0Q5
Arhgap19,Q8BRH3
Arhgap20,Q6IFT4
Arhgap21,Q6DFV3
Arhgap22,Q8BL80
Arhgap23,Q69ZH9
Arhgap24,Q8C4V1
Arhgap25,Q8BYW1
Arhgap26,Q6ZQ82
Arhgap27,A2AB59
Arhgap28,Q8BN58
Arhgap29,Q8CGF1
Arhgap30,Q640N3
Arhgap31,A6X8Z5
Arhgap32,Q811P8
Arhgap33,Q80YF9
Arhgap35,Q91YM2
